,URL,Total_clicks,Unique_clicks,Digest_num,Ranking
161,https://www.coindesk.com/examining-facebooks-claim-its-crypto-is-for-the-unbanked,9,8,7,14
162,http://www.theguardian.com/technology/2019/jun/20/facebook-libra-cryptocurrency-astrology-prediction,9,9,7,25
163,https://www.economist.com/leaders/2019/06/22/facebook-wants-to-create-a-global-currency,8,5,7,23
164,https://www.cjr.org/the_media_today/facebook-cryptocurrency.php,7,5,7,24
165,https://www.washingtonpost.com/opinions/2019/06/20/facebook-must-like-trouble-because-its-new-cryptocurrency-just-means-more-it/,7,6,7,21
166,https://www.forbes.com/sites/enriquedans/2019/06/20/libra-an-interesting-idea-if-only-facebook-werent-involved/,6,5,7,17
167,https://www.forbes.com/sites/kenrapoza/2019/06/20/facebooks-libra-coin-is-both-vampire-project-and-regulatory-nightmare/,6,5,7,19
168,https://www.ft.com/content/374a1af0-9101-11e9-aea1-2b1d33ac3271,5,5,7,20
169,https://www.businessinsider.com/facebook-cryptocurrency-brings-it-closer-to-becoming-virtual-nation-2019-6,5,4,7,12
170,https://www.afr.com/business/banking-and-finance/facebook-takes-crypto-mainstream-20190620-p51znq,4,3,7,10
171,https://seekingalpha.com/article/4271325-facebook-folly-facebook-launching-libra-2020,4,3,7,15
172,https://www.forbes.com/sites/rhockett/2019/06/20/facebooks-proposed-crypto-currency-more-pisces-than-libra-for-now/,3,2,7,13
173,https://www.wired.com/story/lawmakers-express-privacy-concerns-facebooks-libra/,1,1,7,22
174,https://www.cnet.com/news/facebook-unveils-its-libra-cryptocurrency-as-politicians-raise-eyebrows/,0,0,7,9
175,http://www.theguardian.com/technology/2019/aug/04/facial-recognition-supermarket-facewatch-ai-artificial-intelligence-civil-liberties,76,67,17,1
176,https://www.wsj.com/articles/are-you-ready-for-facial-recognition-at-the-airport-11565775008,24,19,17,3
177,https://codastory.com/authoritarian-tech/western-academia-china-automated-racism/,23,23,17,2
178,https://www.washingtonpost.com/business/2019/07/31/emotion-detection-ai-is-billion-industry-new-research-says-it-cant-do-what-it-claims/,17,15,17,4
179,https://reason.com/2019/08/20/privacy-friendly-fashion-for-a-surveillance-state-age/,14,9,17,11
180,https://www.cnet.com/news/drones-and-facial-recognition-could-help-keep-cows-healthy/,12,11,17,5
181,https://www.bbc.com/news/technology-49489154,10,10,17,25
182,https://www.forbes.com/sites/julianvigo/2019/08/13/surveillance-technology-and-cultural-notions-of-privacy/,10,8,17,19
183,https://www.forbes.com/sites/jamesayles/2019/08/21/wimbledon-embraces-innovation-to-change-the-game/,8,8,17,17
184,https://www.wired.com/story/amazon-detect-fear-face-you-scared/,7,6,17,12
185,https://fortune.com/2019/08/13/state-task-forces-artificial-intelligence/,6,5,17,10
186,https://www.straitstimes.com/asia/australianz/aussie-varsities-under-scrutiny-over-research-with-china-entities,6,5,17,14
187,https://eu.detroitnews.com/story/news/local/detroit-city/2019/07/31/detroit-cops-drop-real-time-provision-facial-recognition-policy/1882278001/,6,6,17,6
188,https://medium.com/advancing-justice-aajc/facial-recognition-technology-the-need-for-robust-civil-rights-protections-790f26d5a1b9,5,5,17,18
189,https://www.prospectmagazine.co.uk/science-and-technology/facial-recognition-technology-police-uk-race-gender-london-stations,5,5,17,23
190,https://www.theguardian.com/us-news/2019/aug/16/its-techno-racism-detroit-is-quietly-using-facial-recognition-to-make-arrests,4,4,17,15
191,https://www.huffpost.com/entry/facial-recognition-privacy-racism_n_5d4d9aa1e4b0fd2733efe98c,4,3,17,7
192,https://economictimes.indiatimes.com/news/economy/policy/view-data-protection-law-must-guard-against-internal-and-foreign-threats-to-citizen-privacy/articleshow/70445027.cms,4,3,17,16
193,https://onezero.medium.com/california-police-are-sharing-facial-recognition-databases-to-id-suspects-3317726d31ad,4,4,17,8
194,https://www.bloomberg.com/view/articles/2019-08-02/3-d-sensors-are-the-bright-spot-in-the-smartphone-industry,4,4,17,22
195,https://www.bangkokpost.com/business/1721271/biometrics-a-double-edged-sword,3,3,17,24
196,https://phys.org/news/2019-08-facial-recognition-technique-hail.html,3,3,17,9
197,https://www.forbes.com/sites/kalevleetaru/2019/07/31/do-facial-recognition-laws-matter-in-a-globalized-world/,2,2,17,21
198,https://techxplore.com/news/2019-08-amazon-analysis-tech.html,1,1,17,20
199,https://gcn.com/articles/2019/08/16/facial-recognition-cities-concern.aspx,1,1,17,13
200,https://www.irishtimes.com/business/personal-finance/should-investors-be-worried-by-controlled-companies-1.4055193,66,52,25,1
201,https://www.theatlantic.com/ideas/archive/2019/10/say-goodbye-millennial-urban-lifestyle/599839/,40,37,25,9
202,https://www.ft.com/content/a96265b0-ef3f-11e9-bfa4-b25f11f42901,31,29,25,4
203,https://www.wsj.com/articles/the-fall-of-wework-how-a-startup-darling-came-unglued-11571946003?mod=hp_lead_pos8,20,18,25,6
204,https://www.afr.com/wealth/people/can-this-tech-unicorn-build-the-uber-of-real-estate-20191006-p52y2u,20,19,25,3
205,https://www.businessinsider.com/wework-uk-financials-show-debt-in-international-unit-2019-10,19,17,25,2
206,https://www.theatlantic.com/ideas/archive/2019/10/are-we-cusp-next-dot-com-bubble/600232/,17,14,25,21
207,https://qz.com/1728419/point-72-ventures-is-betting-on-neobank-killers/,16,15,25,5
208,https://www.forbes.com/sites/roomykhan/2019/10/22/adam-neumann-needs-to-be-held-accountable-is-there-a-case-for-minority-shareholders-and-employees/,13,12,25,7
209,https://www.nytimes.com/2019/10/24/business/wework-growth.html,12,10,25,15
210,https://www.bloomberg.com/news/articles/2019-10-22/adam-neumann-era-of-excess-and-eccentricity-is-over-at-wework,11,11,25,12
211,https://theoutline.com/post/8139/wework-has-real-victims,11,10,25,24
212,https://www.crainsnewyork.com/features/new-yorks-booming-vc-sector-banking-human-centric-startups,10,10,25,10
213,https://www.standard.co.uk/tech/wework-bubble-burst-tech-success-implosion-a4262941.html,9,9,25,19
214,https://www.reuters.com/article/us-wework-m-a-softbank-group-idUSKBN1X40J4,9,6,25,25
215,http://www.theguardian.com/business/2019/oct/15/wework-sack-staff-workers-adam-neumann,7,7,25,13
216,https://www.barrons.com/articles/softbank-stock-has-been-battered-by-wework-its-time-to-give-it-another-look-analyst-says-51571153428,7,7,25,20
217,https://www.bloomberg.com/opinion/articles/2019-10-22/wework-saga-is-also-a-cautionary-investment-tale,6,6,25,16
218,https://www.ft.com/content/0d8308a4-f537-11e9-a79c-bc9acae3b654,6,6,25,8
219,https://www.businessinsider.com/softbanks-struggling-vision-fund-likely-prompted-wework-bailout-2019-10,6,5,25,11
220,https://www.profgalloway.com/marginal,5,5,25,23
221,https://www.cnet.com/features/at-y-combinators-startup-school-its-not-all-tech-cheerleading/,5,4,25,18
222,https://www.nytimes.com/2019/10/24/opinion/clayton-sec-pcaob.html,2,2,25,14
223,https://en.businesstimes.cn/articles/120219/20191014/workspace-solutions-chinese-co-working-equation.htm,0,0,25,22
224,https://www.vox.com/recode/2019/10/23/20928575/wework-layoffs-all-hands-meeting-recording-marcelo-claure-chairman,0,0,25,17
225,https://indypendent.org/2019/10/fleeing-violence-in-their-homeland-syrians-now-find-themselves-hounded-in-turkey/,47,41,23,1
226,https://www.evrensel.net/daily/388604/a-real-secure-region-can-be-established-through-peace-not-war?a=af891,26,23,23,5
227,https://www.washingtonexaminer.com/policy/defense-national-security/stung-by-criticism-hes-stabbing-kurds-in-the-back-trump-tries-to-change-green-light-to-yellow-on-turkish-assault,22,19,23,4
228,https://www.vox.com/2019/10/7/20902699/trump-syria-turkey-erdogan-invasion-kurds,20,16,23,9
229,https://www.asiatimes.com/2018/12/article/us-abandonment-of-kurds-sends-bad-message-to-east-asia/,20,19,23,3
230,"https://www.benningtonbanner.com/stories/galbraith-trump-decision-can-lead-to-chaos-in-syria,586958",18,18,23,25
231,https://www.motherjones.com/politics/2019/10/syria-kurds/,15,15,23,7
232,https://www.dailysabah.com/war-on-terror/2019/10/10/operation-peace-spring-launched-to-eliminate-terror-threats-in-syria,14,10,23,2
233,https://www.coindesk.com/sharia-goldbugs-how-isis-created-a-currency-for-world-domination,13,9,23,14
234,https://www.theatlantic.com/politics/archive/2019/10/trumps-confusing-syria-policy/599629/,13,10,23,8
235,https://www.washingtonpost.com/politics/trumps-syria-decision-tests-the-bounds-of-republican-support-as-he-demands-solidarity-on-impeachment/2019/10/09/b5f0c8b0-eaaa-11e9-85c0-85a098e47b37_story.html,10,8,23,6
236,https://edition.cnn.com/2019/10/09/politics/turkey-syria-us-anger-ramifications/index.html,8,7,23,17
237,https://foreignpolicy.com/2019/10/10/kurds-syrian-democratic-forces-us-donald-trump/,7,7,23,11
238,https://euobserver.com/opinion/146188,6,6,23,20
239,https://www.dailysignal.com/2019/10/09/what-you-need-to-know-about-trumps-syria-move/,5,4,23,23
240,https://www.telegraph.co.uk/news/2019/10/10/inside-al-hol-timebomb-isil-prison-camp-threatening-crack-open/,4,2,23,24
241,https://nationalinterest.org/blog/middle-east-watch/trumps-triumph-america-finally-leaves-syria-86326,4,2,23,22
242,https://www.wsj.com/articles/turkeys-erdogan-threatens-eu-with-wave-of-refugees-if-it-doesnt-support-syria-offensive-11570724256,4,4,23,13
243,https://www.nationalreview.com/2019/10/trumps-wise-turkey-policy/,3,3,23,21
244,https://www.stuff.co.nz/world/americas/116398245/even-donald-trumps-usual-allies-dont-back-his-approach-to-syria-and-turkey,3,3,23,19
245,https://www.nytimes.com/2019/10/10/us/politics/trump-syria-turkey.html,2,2,23,16
